time,pressure[mbar]
08/31/17 10:25:02, 05.2E-07 
08/31/17 10:26:02, 05.2E-07 
08/31/17 10:27:02, 05.2E-07 
08/31/17 10:28:02, 05.2E-07 
08/31/17 10:29:02, 05.2E-07 
08/31/17 10:30:02, 05.2E-07 
08/31/17 10:31:02, 05.2E-07 
08/31/17 10:32:02, 05.2E-07 
08/31/17 10:33:02, 05.2E-07 
08/31/17 10:34:02, 05.2E-07 
08/31/17 10:35:02, 05.2E-07 
08/31/17 10:36:03, 05.2E-07 
08/31/17 10:37:02, 05.2E-07 
08/31/17 10:38:02, 05.2E-07 
08/31/17 10:39:02, 05.2E-07 
08/31/17 10:40:02, 05.2E-07 
08/31/17 10:41:02, 05.2E-07 
08/31/17 10:42:02, 05.2E-07 
08/31/17 10:43:02, 05.2E-07 
08/31/17 10:44:02, 05.2E-07 
08/31/17 10:45:02, 05.2E-07 
08/31/17 10:46:02, 05.2E-07 
08/31/17 10:47:02, 05.2E-07 
08/31/17 10:48:02, 05.2E-07 
08/31/17 10:49:02, 05.2E-07 
08/31/17 10:50:02, 05.2E-07 
08/31/17 10:51:02, 05.2E-07 
08/31/17 10:52:02, 05.2E-07 
08/31/17 10:53:02, 05.2E-07 
08/31/17 10:54:02, 05.2E-07 
08/31/17 10:55:02, 05.2E-07 
08/31/17 10:56:02, 05.2E-07 
08/31/17 10:57:02, 05.2E-07 
08/31/17 10:58:02, 05.2E-07 
08/31/17 10:59:02, 05.2E-07 
08/31/17 11:00:02, 05.2E-07 
08/31/17 11:01:02, 05.2E-07 
08/31/17 11:02:02, 05.2E-07 
08/31/17 11:03:02, 05.2E-07 
08/31/17 11:04:02, 05.2E-07 
08/31/17 11:05:02, 05.2E-07 
08/31/17 11:06:02, 05.2E-07 
08/31/17 11:07:02, 05.2E-07 
08/31/17 11:08:03, 05.2E-07 
08/31/17 11:09:02, 05.2E-07 
08/31/17 11:10:02, 05.2E-07 
08/31/17 11:11:02, 05.2E-07 
08/31/17 11:12:02, 05.2E-07 
08/31/17 11:13:02, 05.2E-07 
08/31/17 11:14:02, 05.2E-07 
08/31/17 11:15:02, 05.2E-07 
08/31/17 11:16:02, 05.2E-07 
08/31/17 11:17:02, 05.2E-07 
08/31/17 11:18:02, 05.2E-07 
08/31/17 11:19:02, 05.0E-07 
08/31/17 11:20:02, 05.0E-07 
08/31/17 11:21:02, 05.0E-07 
08/31/17 11:22:03, 05.0E-07 
08/31/17 11:23:02, 05.0E-07 
08/31/17 11:24:02, 05.0E-07 
08/31/17 11:25:02, 05.0E-07 
08/31/17 11:26:02, 05.0E-07 
08/31/17 11:27:02, 05.0E-07 
08/31/17 11:28:02, 05.0E-07 
08/31/17 11:29:02, 05.0E-07 
08/31/17 11:30:02, 05.0E-07 
08/31/17 11:31:02, 05.0E-07 
08/31/17 11:32:02, 05.0E-07 
08/31/17 11:33:02, 05.0E-07 
08/31/17 11:34:02, 05.0E-07 
08/31/17 11:35:02, 05.0E-07 
08/31/17 11:36:02, 05.0E-07 
08/31/17 11:37:02, 05.0E-07 
08/31/17 11:38:02, 05.0E-07 
08/31/17 11:39:02, 05.0E-07 
08/31/17 11:40:02, 05.0E-07 
08/31/17 11:41:02, 05.0E-07 
08/31/17 11:42:02, 05.0E-07 
08/31/17 11:43:02, 05.0E-07 
08/31/17 11:44:02, 05.0E-07 
08/31/17 11:45:02, 05.0E-07 
08/31/17 11:46:02, 05.0E-07 
08/31/17 11:47:02, 05.0E-07 
08/31/17 11:48:02, 05.0E-07 
08/31/17 11:49:02, 05.0E-07 
08/31/17 11:50:02, 05.0E-07 
08/31/17 11:51:02, 05.0E-07 
08/31/17 11:52:02, 05.0E-07 
08/31/17 11:53:02, 05.0E-07 
08/31/17 11:54:02, 05.0E-07 
08/31/17 11:55:02, 05.0E-07 
